"TALHAO";"AREA_TL";"DATA_PL";"ESPAC";"PARCELA";"DATA_MD";"AREA_PC";"COVA";"DAP";"HT";"OBS";"HD"
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;60;13,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;61;11,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;62;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;63;13,5;20,3;"D";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;64;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;65;11,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;66;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;67;13,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;68;12,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;69;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;70;11;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;71;13;20,5;"D";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;72;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;73;13,5;21,3;"D";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;74;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;75;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;76;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;77;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;78;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;79;11,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;80;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;81;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;82;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;83;13,5;21,2;"D";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;84;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;85;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;86;12,5;20,2;"D";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;87;14,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;88;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;89;15;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;90;13;NA;"N";20,7
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;1;13;19,2;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;2;11;18,2;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;3;12,5;18,6;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;4;12,5;18,8;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;5;13;19;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;6;13;19,4;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;7;10,5;16,8;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;8;12;19,1;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;9;13;19;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;10;12;19;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;11;13;17,9;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;12;13;18,2;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;13;12;18,2;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;14;11;18;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;15;11,5;18;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;16;11,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;17;11,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;18;11;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;19;11;NA;"N";19,98
