ARVORE;DAP;HT;hi;di_cc;e_casca
22;18,14366351;31,9;16;12,25493062;2
22;18,14366351;31,9;18;10,98169107;2
22;18,14366351;31,9;20;9,708451529;2
22;18,14366351;31,9;22;8,594366927;2
22;18,14366351;31,9;24;7,321127382;2
22;18,14366351;31,9;26;6,68450761;2
22;18,14366351;31,9;28;4,774648293;2
22;18,14366351;31,9;30;3,183098862;1
23;18,4619734;30,75;0,1;21,00845249;6
23;18,4619734;30,75;0,5;20,05352283;7
23;18,4619734;30,75;1;18,78028328;6
23;18,4619734;30,75;1,5;18,4619734;6
23;18,4619734;30,75;2;18,30281846;5
23;18,4619734;30,75;4;17,3478888;4
23;18,4619734;30,75;6;16,55211408;4
23;18,4619734;30,75;8;16,07464925;4
23;18,4619734;30,75;10;14,96056465;4
23;18,4619734;30,75;12;14,32394488;4
23;18,4619734;30,75;14;13,05070533;3
23;18,4619734;30,75;16;12,41408556;4
23;18,4619734;30,75;18;10,98169107;3
23;18,4619734;30,75;20;9,867606472;3
23;18,4619734;30,75;22;8,594366927;3
23;18,4619734;30,75;24;7,321127382;3
23;18,4619734;30,75;26;6,047887837;3
23;18,4619734;30,75;28;4,456338407;2
23;18,4619734;30,75;30;1,909859317;1
24;18,4619734;31,6;0,1;19,41690306;10
24;18,4619734;31,6;0,5;18,4619734;7
24;18,4619734;31,6;1;18,14366351;7
24;18,4619734;31,6;1,5;17,82535363;6
24;18,4619734;31,6;2;17,66619868;6
24;18,4619734;31,6;4;17,50704374;5
24;18,4619734;31,6;6;16,55211408;4
24;18,4619734;31,6;8;15,59718442;4
24;18,4619734;31,6;10;14,64225476;4
24;18,4619734;31,6;12;13,68732511;3
24;18,4619734;31,6;14;12,89155039;4
24;18,4619734;31,6;16;11,93662073;3
24;18,4619734;31,6;18;10,98169107;3
24;18,4619734;31,6;20;9,867606472;3
24;18,4619734;31,6;22;8,594366927;2
24;18,4619734;31,6;24;7,321127382;2
24;18,4619734;31,6;26;6,047887837;2
24;18,4619734;31,6;28;5,411268065;3
24;18,4619734;31,6;30;3,501408748;2
25;18,78028328;31,9;0,1;21,8042272;7
25;18,78028328;31,9;0,5;19,89436789;7
25;18,78028328;31,9;1;18,78028328;6
25;18,78028328;31,9;1,5;18,4619734;5
25;18,78028328;31,9;2;18,30281846;5
25;18,78028328;31,9;4;17,66619868;5
25;18,78028328;31,9;6;16,87042397;5
25;18,78028328;31,9;8;16,2338042;4
25;18,78028328;31,9;10;15,27887454;3
25;18,78028328;31,9;12;14,32394488;3
25;18,78028328;31,9;14;12,41408556;3
25;18,78028328;31,9;16;11,4591559;4
25;18,78028328;31,9;18;10,50422624;4
25;18,78028328;31,9;20;9,071831756;4
