ARVORE;TORA;DAP;HT;hi;di_cc;e_casca;comp_secao
12;19;16,1;21;18,5;8;2;1
12;20;16,1;21;19,5;7,5;2;1
12;21;16,1;21;20,5;6,5;2;1
13;1;15,1;20;0,5;16;1;1
13;2;15,1;20;1,5;15;10;1
13;3;15,1;20;2,5;14;7;1
13;4;15,1;20;3,5;14;7;1
13;5;15,1;20;4,5;13,5;6;1
13;6;15,1;20;5,5;13,5;5;1
13;7;15,1;20;6,5;13;5;1
13;8;15,1;20;7,5;13;4;1
13;9;15,1;20;8,5;12,5;4;1
13;10;15,1;20;9,5;12;4;1
13;11;15,1;20;10,5;12;4;1
13;12;15,1;20;11,5;11;4;1
13;13;15,1;20;12,5;11;4;1
13;14;15,1;20;13,5;10;3;1
13;15;15,1;20;14,5;9,5;3;1
13;16;15,1;20;15,5;9;3;1
13;17;15,1;20;16,5;8;2;1
13;18;15,1;20;17,5;8;2;1
13;19;15,1;20;18,5;7,5;1;1
13;20;15,1;20;19,5;6,5;10;1
15;1;14,7;19;0,5;15;7;1
15;2;14,7;19;1,5;14,5;6;1
15;3;14,7;19;2,5;14;5;1
15;4;14,7;19;3,5;14;5;1
15;5;14,7;19;4,5;13,5;5;1
15;6;14,7;19;5,5;12,5;5;1
15;7;14,7;19;6,5;12,5;4;1
15;8;14,7;19;7,5;12;4;1
15;9;14,7;19;8,5;11,5;4;1
15;10;14,7;19;9,5;11,5;4;1
15;11;14,7;19;10,5;11;3;1
15;12;14,7;19;11,5;10;3;1
15;14;14,7;19;13,5;9;3;1
15;15;14,7;19;14,5;8,5;3;1
15;16;14,7;19;15,5;8;3;1
15;17;14,7;19;16,5;7;2;1
15;18;14,7;19;17,5;7;2;1
15;19;14,7;19;18,5;6;9;1
16;1;16,7;20;0,5;17;8;1
16;2;16,7;20;1,5;16,5;6;1
16;3;16,7;20;2,5;16;6;1
16;4;16,7;20;3,5;15;6;1
16;5;16,7;20;4,5;15;5;1
16;6;16,7;20;5,5;14,5;5;1
16;7;16,7;20;6,5;14;4;1
16;8;16,7;20;7,5;13,5;3;1
16;9;16,7;20;8,5;13;3;1
16;10;16,7;20;9,5;12,5;3;1
16;11;16,7;20;10,5;12;3;1
16;12;16,7;20;11,5;11,5;3;1
16;13;16,7;20;12,5;11;3;1
16;14;16,7;20;13,5;10,5;3;1
16;15;16,7;20;14,5;10;2;1
16;16;16,7;20;15,5;9;2;1
16;17;16,7;20;16,5;8,5;2;1
16;18;16,7;20;17,5;8;1;1
16;19;16,7;20;18,5;7,5;7;1
16;20;16,7;20;19,5;7;7;1
17;1;15,5;19;0,5;17;6;1
17;2;15,5;19;1,5;15,5;6;1
17;3;15,5;19;2,5;15;6;1
17;4;15,5;19;3,5;14,5;5;1
17;5;15,5;19;4,5;14,5;5;1
17;6;15,5;19;5,5;14;4;1
17;7;15,5;19;6,5;14;3;1
17;8;15,5;19;7,5;13;3;1
17;9;15,5;19;8,5;12,5;2;1
17;10;15,5;19;9,5;12;2;1
17;11;15,5;19;10,5;12;2;1
17;12;15,5;19;11,5;11,5;2;1
17;13;15,5;19;12,5;11;2;1
17;14;15,5;19;13,5;10,5;2;1
17;15;15,5;19;14,5;10;2;1
17;16;15,5;19;15,5;9;2;1
17;17;15,5;19;16,5;8;1;1
17;18;15,5;19;17,5;7,5;6;1
17;19;15,5;19;18,5;6,5;7;1
18;1;16,7;20;0,5;17;6;1
18;2;16,7;20;1,5;16,5;6;1
18;3;16,7;20;2,5;16;5;1
18;4;16,7;20;3,5;15;4;1
18;5;16,7;20;4,5;15;4;1
18;6;16,7;20;5,5;14,5;4;1
18;7;16,7;20;6,5;14;4;1
18;8;16,7;20;7,5;13,5;4;1
18;9;16,7;20;8,5;13;3;1
18;10;16,7;20;9,5;12,5;4;1
18;11;16,7;20;10,5;12;3;1
18;12;16,7;20;11,5;12;3;1
18;13;16,7;20;12,5;11,5;3;1
18;14;16,7;20;13,5;10,5;3;1
