"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca";"di_sc";"AS_CC";"AS_SC";"VCC";"VSC"
10;14,96056465;22,25;10;10,82253613;3;10,22253613;0,00919915571028845;0,00820743004419421;0,0163611281501532;0,0144976768178954
10;14,96056465;22,25;12;9,549296586;3;8,949296586;0,00716197243986471;0,00629024677370119;0,0129631701156151;0,0115640108200636
10;14,96056465;22,25;14;8,594366927;2;8,194366927;0,00580119767575041;0,00527376404636241;0,0103848600363038;0,00962056799958232
10;14,96056465;22,25;16;7,639437268;1;7,439437268;0,00458366236055341;0,00434680395321992;0,00625677870004986;0,00587806188535943
10;14,96056465;22,25;18;4,61549335;1;4,41549335;0,00167311633949645;0,00153125793213951;0,00246889105503697;0,00223017424032854
10;14,96056465;22,25;20;3,183098862;1;2,983098862;0,000795774715540523;0,000698916308189021;0,000845510635199306;0,000726793820515828
10;14,96056465;22,25;22;0,795774715;1;0,595774715;4,97359196587827e-05;2,78775123268074e-05;NA;NA
11;15,11971959;26,9;0,1;17,02957891;8;15,42957891;0,0227770617910111;0,0186981237210502;0,00861426129325117;0,0071222612873645
11;15,11971959;26,9;0,5;16,07464925;7;14,67464925;0,0202942446752447;0,0169131827157723;0,00965722353176459;0,00812023237562904
11;15,11971959;26,9;1;15,27887454;6;14,07887454;0,0183346494518137;0,0155677467867438;0,0090723291151273;0,00769637778291793
11;15,11971959;26,9;1,5;15,11971959;6;13,91971959;0,0179546670086956;0,0152177643449279;0,00869831499439326;0,00735236366254356
11;15,11971959;26,9;2;14,64225476;6;13,44225476;0,0168385929688775;0,0141916903052463;0,0329530309608231;0,02813466811326
11;15,11971959;26,9;4;14,32394488;5;13,32394488;0,0161144379919456;0,0139429778080137;0,0304881187839588;0,0266669240828376
11;15,11971959;26,9;6;13,52817016;4;12,72817016;0,0143736807920132;0,0127239462748239;0,0271060762446616;0,0239066072095969
11;15,11971959;26,9;8;12,73239545;4;11,93239545;0,0127323954526484;0,011182660934773;0,0242233823344135;0,0215619221508902
11;15,11971959;26,9;10;12,09577567;3;11,49577567;0,0114909868817652;0,0103792612161172;0,0206901425920536;0,0185866912603114
11;15,11971959;26,9;12;10,82253613;3;10,22253613;0,00919915571028845;0,00820743004419421;0,0176045261407477;0,0156660748086275
11;15,11971959;26,9;14;10,3450713;3;9,7450713;0,00840537043045928;0,00745864476443331;0,0148690505564397;0,013364891261043
11;15,11971959;26,9;16;9,071831756;2;8,671831756;0,0064636801259804;0,00590624649660972;0,0114372720981087;0,0103924048393269
11;15,11971959;26,9;18;7,957747155;2;7,557747155;0,00497359197212827;0,00448615834271717;0,0088251415949044;0,00791027433611038
11;15,11971959;26,9;20;7,002817496;2;6,602817496;0,00385154962277613;0,00342411599339322;0,00657508858606607;0,00579022132732266
